"","state_name","county_fips","county_name","votes_gop","votes_dem","total_votes","diff","per_gop","per_dem","per_point_diff","area","pop"
"1060","Kentucky",21193,"Perry County",8129,2356,10626,5773,0.765010351966874,0.22172030867683,0.543290043290043,"Perry County, Kentucky",28465
"1061","Kentucky",21195,"Pike County",20284,4866,25395,15418,0.79873990943099,0.19161252215003,0.607127387280961,"Pike County, Kentucky",58663
"1062","Kentucky",21197,"Powell County",4041,1367,5505,2674,0.734059945504087,0.248319709355132,0.485740236148955,"Powell County, Kentucky",13128
"1063","Kentucky",21199,"Pulaski County",25442,5666,31557,19776,0.806223658776183,0.17954811927623,0.626675539499952,"Pulaski County, Kentucky",65033
"1064","Kentucky",21201,"Robertson County",884,253,1146,631,0.771378708551483,0.220767888307155,0.550610820244328,"Robertson County, Kentucky",2192
"1065","Kentucky",21203,"Rockcastle County",6577,1134,7784,5443,0.844938335046249,0.14568345323741,0.699254881808839,"Rockcastle County, Kentucky",16042
"1066","Kentucky",21205,"Rowan County",5994,3880,10065,2114,0.595529061102832,0.385494287133631,0.2100347739692,"Rowan County, Kentucky",24654
"1067","Kentucky",21207,"Russell County",7519,1331,8955,6188,0.83964265773311,0.148632049134562,0.691010608598548,"Russell County, Kentucky",17990
"1068","Kentucky",21209,"Scott County",17767,10567,28969,7200,0.613310780489489,0.364769236079948,0.248541544409541,"Scott County, Kentucky",57153
"1069","Kentucky",21211,"Shelby County",15055,8077,23550,6978,0.63927813163482,0.342972399150743,0.296305732484076,"Shelby County, Kentucky",48101
"1070","Kentucky",21213,"Simpson County",5888,2681,8732,3207,0.674301420064132,0.307031607879066,0.367269812185066,"Simpson County, Kentucky",19595
"1071","Kentucky",21215,"Spencer County",8737,2530,11433,6207,0.764191375841861,0.221289250415464,0.542902125426397,"Spencer County, Kentucky",19433
"1072","Kentucky",21217,"Taylor County",9376,2963,12517,6413,0.749061276663737,0.23671806343373,0.512343213230007,"Taylor County, Kentucky",26019
"1073","Kentucky",21219,"Todd County",4062,1205,5363,2857,0.757411896326683,0.224687674808876,0.532724221517807,"Todd County, Kentucky",12249
"1074","Kentucky",21221,"Trigg County",5487,1791,7376,3696,0.743899132321041,0.24281453362256,0.501084598698482,"Trigg County, Kentucky",14057
"1075","Kentucky",21223,"Trimble County",3227,1012,4320,2215,0.746990740740741,0.234259259259259,0.512731481481482,"Trimble County, Kentucky",8470
"1076","Kentucky",21225,"Union County",4965,1529,6577,3436,0.754903451421621,0.232476813136688,0.522426638284932,"Union County, Kentucky",13670
"1077","Kentucky",21227,"Warren County",31791,22479,55401,9312,0.573834407321168,0.405750798722045,0.168083608599123,"Warren County, Kentucky",134551
"1078","Kentucky",21229,"Washington County",4482,1644,6225,2838,0.72,0.264096385542169,0.455903614457831,"Washington County, Kentucky",12028
"1079","Kentucky",21231,"Wayne County",7430,1700,9240,5730,0.804112554112554,0.183982683982684,0.62012987012987,"Wayne County, Kentucky",19559
"1080","Kentucky",21233,"Webster County",4506,1412,5993,3094,0.751877190055064,0.235608209577841,0.516268980477223,"Webster County, Kentucky",13014
"1081","Kentucky",21235,"Whitley County",12567,2552,15356,10015,0.818377181557697,0.166189111747851,0.652188069809846,"Whitley County, Kentucky",36715
"1082","Kentucky",21237,"Wolfe County",2097,839,2979,1258,0.70392749244713,0.28163813360188,0.42228935884525,"Wolfe County, Kentucky",6561
"1083","Kentucky",21239,"Woodford County",8362,6530,15211,1832,0.54973374531589,0.429294589441851,0.120439155874039,"Woodford County, Kentucky",26874
"1084","Louisiana",22001,"Acadia Parish",22596,5443,28425,17153,0.794934036939314,0.191486367634125,0.603447669305189,"Acadia Parish, Louisiana",57569
"1085","Louisiana",22003,"Allen Parish",7574,2108,9810,5466,0.772069317023446,0.214882772680938,0.557186544342508,"Allen Parish, Louisiana",22751
"1086","Louisiana",22005,"Ascension Parish",40687,20399,62325,20288,0.652819895707982,0.327300441235459,0.325519454472523,"Ascension Parish, Louisiana",126498
"1087","Louisiana",22007,"Assumption Parish",7271,3833,11235,3438,0.647174009790832,0.341165999109924,0.306008010680908,"Assumption Parish, Louisiana",21040
"1088","Louisiana",22009,"Avoyelles Parish",12028,4979,17292,7049,0.69558177191765,0.28793661808929,0.40764515382836,"Avoyelles Parish, Louisiana",39690
"1089","Louisiana",22011,"Beauregard Parish",13575,2542,16357,11033,0.829919911964297,0.155407470807605,0.674512441156691,"Beauregard Parish, Louisiana",36554
"1090","Louisiana",22013,"Bienville Parish",3891,3067,7050,824,0.551914893617021,0.435035460992908,0.116879432624113,"Bienville Parish, Louisiana",12989
"1091","Louisiana",22015,"Bossier Parish",38074,15662,54655,22412,0.69662427957186,0.286561156344342,0.410063123227518,"Bossier Parish, Louisiana",128736
"1092","Louisiana",22017,"Caddo Parish",48021,55110,104912,-7089,0.457726475522343,0.525297392100046,-0.0675709165777033,"Caddo Parish, Louisiana",237857
"1093","Louisiana",22019,"Calcasieu Parish",55066,25982,82663,29084,0.666150514740573,0.314312328369403,0.35183818637117,"Calcasieu Parish, Louisiana",216779
"1094","Louisiana",22021,"Caldwell Parish",3976,745,4762,3231,0.834943301133977,0.156446871062579,0.678496430071399,"Caldwell Parish, Louisiana",9642
"1095","Louisiana",22023,"Cameron Parish",3671,324,4039,3347,0.908888338697697,0.0802178757118099,0.828670462985888,"Cameron Parish, Louisiana",5619
"1096","Louisiana",22025,"Catahoula Parish",3541,1269,4858,2272,0.728900782214903,0.261218608480856,0.467682173734047,"Catahoula Parish, Louisiana",8903
"1097","Louisiana",22027,"Claiborne Parish",3770,2731,6580,1039,0.572948328267477,0.415045592705167,0.15790273556231,"Claiborne Parish, Louisiana",14168
"1098","Louisiana",22029,"Concordia Parish",5550,3177,8828,2373,0.628681468056185,0.359877661984594,0.26880380607159,"Concordia Parish, Louisiana",18681
"1099","Louisiana",22031,"De Soto Parish",9112,5457,14736,3655,0.618349619978285,0.370317589576547,0.248032030401737,"De Soto Parish, Louisiana",26809
"1100","Louisiana",22033,"East Baton Rouge Parish",88420,115577,208182,-27157,0.424724519891249,0.555172877578273,-0.130448357687024,"East Baton Rouge Parish, Louisiana",456781
"1101","Louisiana",22035,"East Carroll Parish",1080,1900,3036,-820,0.355731225296443,0.625823451910408,-0.270092226613966,"East Carroll Parish, Louisiana",7460
"1102","Louisiana",22037,"East Feliciana Parish",6064,4280,10509,1784,0.577029213055476,0.407269959082691,0.169759253972785,"East Feliciana Parish, Louisiana",19536
"1103","Louisiana",22039,"Evangeline Parish",11053,4158,15412,6895,0.717168440176486,0.269789774201921,0.447378665974565,"Evangeline Parish, Louisiana",32351
"1104","Louisiana",22041,"Franklin Parish",6970,2658,9720,4312,0.717078189300412,0.273456790123457,0.443621399176955,"Franklin Parish, Louisiana",19774
"1105","Louisiana",22043,"Grant Parish",8117,1157,9392,6960,0.864246166950596,0.123189948892675,0.741056218057922,"Grant Parish, Louisiana",22163
"1106","Louisiana",22045,"Iberia Parish",21251,11027,32713,10224,0.649619417357014,0.337083116803717,0.312536300553297,"Iberia Parish, Louisiana",70293
"1107","Louisiana",22047,"Iberville Parish",7893,8514,16719,-621,0.47209761349363,0.509240983312399,-0.0371433698187691,"Iberville Parish, Louisiana",30240
"1108","Louisiana",22049,"Jackson Parish",5394,2143,7632,3251,0.706761006289308,0.280791404612159,0.425969601677149,"Jackson Parish, Louisiana",15034
"1109","Louisiana",22051,"Jefferson Parish",105949,84477,193733,21472,0.546881532831268,0.436048582327224,0.110832950504044,"Jefferson Parish, Louisiana",440794
"1110","Louisiana",22053,"Jefferson Davis Parish",11423,3208,14841,8215,0.76969206926757,0.216157940839566,0.553534128428004,"Jefferson Davis Parish, Louisiana",32250
"1111","Louisiana",22055,"Lafayette Parish",72519,39685,114521,32834,0.63323757214834,0.346530330681709,0.286707241466631,"Lafayette Parish, Louisiana",241756
"1112","Louisiana",22057,"Lafourche Parish",36024,8672,45388,27352,0.793689962104521,0.191063717282101,0.60262624482242,"Lafourche Parish, Louisiana",97552
"1113","Louisiana",22059,"LaSalle Parish",6378,638,7077,5740,0.901229334463756,0.0901511940087608,0.811078140454995,"LaSalle Parish, Louisiana",14797
"1114","Louisiana",22061,"Lincoln Parish",11311,7559,19275,3752,0.586822308690013,0.392166018158236,0.194656290531777,"Lincoln Parish, Louisiana",48398
"1115","Louisiana",22063,"Livingston Parish",54877,9249,65230,45628,0.841284684960908,0.14179058715315,0.699494097807757,"Livingston Parish, Louisiana",142284
"1116","Louisiana",22065,"Madison Parish",1930,2654,4670,-724,0.413276231263383,0.56830835117773,-0.155032119914347,"Madison Parish, Louisiana",10015
"1117","Louisiana",22067,"Morehouse Parish",6510,4946,11574,1564,0.562467599792639,0.427337134957664,0.135130464834975,"Morehouse Parish, Louisiana",25629
"1118","Louisiana",22069,"Natchitoches Parish",9358,6896,16554,2462,0.56530143771898,0.416576054125891,0.148725383593089,"Natchitoches Parish, Louisiana",37519
"1119","Louisiana",22071,"Orleans Parish",26664,147854,177819,-121190,0.149950230290351,0.83148594919553,-0.681535718905179,"Orleans Parish, Louisiana",383998
"1120","Louisiana",22073,"Ouachita Parish",42255,25913,69166,16342,0.610921551051094,0.374649394211029,0.236272156840066,"Ouachita Parish, Louisiana",160364
"1121","Louisiana",22075,"Plaquemines Parish",7412,3414,11014,3998,0.672961685128019,0.30996913019793,0.362992554930089,"Plaquemines Parish, Louisiana",23515
"1122","Louisiana",22077,"Pointe Coupee Parish",7503,4683,12371,2820,0.606499070406596,0.37854660092151,0.227952469485086,"Pointe Coupee Parish, Louisiana",20757
"1123","Louisiana",22079,"Rapides Parish",38347,19475,58865,18872,0.651439734986834,0.330841756561624,0.32059797842521,"Rapides Parish, Louisiana",130030
"1124","Louisiana",22081,"Red River Parish",2413,1644,4132,769,0.583978702807357,0.397870280735721,0.186108422071636,"Red River Parish, Louisiana",7624
"1125","Louisiana",22083,"Richland Parish",6607,3225,9940,3382,0.664688128772636,0.324446680080483,0.340241448692153,"Richland Parish, Louisiana",20049
"1126","Louisiana",22085,"Sabine Parish",8776,1731,10596,7045,0.828237070592676,0.163363533408834,0.664873537183843,"Sabine Parish, Louisiana",22144
"1127","Louisiana",22087,"St. Bernard Parish",11179,6151,17650,5028,0.633371104815864,0.348498583569405,0.284872521246459,"St. Bernard Parish, Louisiana",43766
"1128","Louisiana",22089,"St. Charles Parish",18233,9800,28517,8433,0.639373005575622,0.34365466213136,0.295718343444261,"St. Charles Parish, Louisiana",52548
"1129","Louisiana",22091,"St. Helena Parish",2714,3346,6158,-632,0.440727508931471,0.543358233192595,-0.102630724261124,"St. Helena Parish, Louisiana",10925
"1130","Louisiana",22093,"St. James Parish",5954,6510,12590,-556,0.472915011914218,0.517077045274027,-0.0441620333598093,"St. James Parish, Louisiana",20194
"1131","Louisiana",22095,"St. John the Baptist Parish",7538,13582,21432,-6044,0.351717058603957,0.633725270623367,-0.28200821201941,"St. John the Baptist Parish, Louisiana",42477
"1132","Louisiana",22097,"St. Landry Parish",23171,17372,41154,5799,0.563031540069009,0.422121786460611,0.140909753608398,"St. Landry Parish, Louisiana",82552
"1133","Louisiana",22099,"St. Martin Parish",18203,8439,27038,9764,0.673237665507804,0.312116280789999,0.361121384717805,"St. Martin Parish, Louisiana",51766
"1134","Louisiana",22101,"St. Mary Parish",14811,8055,23186,6756,0.638790649529889,0.347407918571552,0.291382730958337,"St. Mary Parish, Louisiana",49405
"1135","Louisiana",22103,"St. Tammany Parish",99666,37746,140110,61920,0.711341089144244,0.269402612233245,0.441938476910998,"St. Tammany Parish, Louisiana",264575
"1136","Louisiana",22105,"Tangipahoa Parish",37806,18887,57661,18919,0.655659804720695,0.327552418445743,0.328107386274952,"Tangipahoa Parish, Louisiana",133149
"1137","Louisiana",22107,"Tensas Parish",1197,1329,2554,-132,0.468676585747847,0.5203602192639,-0.0516836335160532,"Tensas Parish, Louisiana",4147
"1138","Louisiana",22109,"Terrebonne Parish",34339,11198,46240,23141,0.742625432525952,0.242171280276817,0.500454152249135,"Terrebonne Parish, Louisiana",109583
"1139","Louisiana",22111,"Union Parish",8407,2654,11201,5753,0.750557985894117,0.236943130077672,0.513614855816445,"Union Parish, Louisiana",21106
"1140","Louisiana",22113,"Vermilion Parish",21930,5009,27324,16921,0.802591128678085,0.183318694188259,0.619272434489826,"Vermilion Parish, Louisiana",56973
"1141","Louisiana",22115,"Vernon Parish",14107,2898,17268,11209,0.816944637479731,0.167824878387769,0.649119759091962,"Vernon Parish, Louisiana",48754
"1142","Louisiana",22117,"Washington Parish",13307,5970,19513,7337,0.681955619330703,0.305949879567468,0.376005739763235,"Washington Parish, Louisiana",45456
"1143","Louisiana",22119,"Webster Parish",11830,6172,18216,5658,0.649429073342117,0.338823012736056,0.310606060606061,"Webster Parish, Louisiana",36963
"1144","Louisiana",22121,"West Baton Rouge Parish",7684,6200,14097,1484,0.545080513584451,0.439809888628786,0.105270624955664,"West Baton Rouge Parish, Louisiana",27201
"1145","Louisiana",22123,"West Carroll Parish",4317,710,5052,3607,0.854513064133017,0.140538400633412,0.713974663499604,"West Carroll Parish, Louisiana",9755
"1146","Louisiana",22125,"West Feliciana Parish",3863,2298,6268,1565,0.616305041480536,0.366624122527122,0.249680918953414,"West Feliciana Parish, Louisiana",15307
"1147","Louisiana",22127,"Winn Parish",4619,1543,6225,3076,0.742008032128514,0.247871485943775,0.494136546184739,"Winn Parish, Louisiana",13755
"1148","Maine",23001,"Androscoggin County",29268,27617,58707,1651,0.498543614901119,0.470420903810448,0.0281227110906706,"Androscoggin County, Maine",111147
"1149","Maine",23003,"Aroostook County",21080,13956,35746,7124,0.589716331897275,0.390421305880378,0.199295026016897,"Aroostook County, Maine",67107
"1150","Maine",23005,"Cumberland County",59584,128759,193765,-69175,0.307506515624597,0.664511134621836,-0.357004618997239,"Cumberland County, Maine",303076
"1151","Maine",23007,"Franklin County",8754,8069,17390,685,0.503392754456584,0.464002300172513,0.0393904542840713,"Franklin County, Maine",29447
"1152","Maine",23009,"Hancock County",14982,19369,35325,-4387,0.42411889596603,0.54830856334041,-0.124189667374381,"Hancock County, Maine",55477
"1153","Maine",23011,"Kennebec County",34721,34902,71858,-181,0.483189067327229,0.485707923961146,-0.00251885663391688,"Kennebec County, Maine",123636
"1154","Maine",23013,"Knox County",9982,15110,25734,-5128,0.387891505401414,0.58716095437942,-0.199269448978006,"Knox County, Maine",40608
"1155","Maine",23015,"Lincoln County",10256,12684,23594,-2428,0.43468678477579,0.537594303636518,-0.102907518860727,"Lincoln County, Maine",35240
"1156","Maine",23017,"Oxford County",17698,14755,33492,2943,0.528424698435447,0.440552967872925,0.0878717305625224,"Oxford County, Maine",57766
"1157","Maine",23019,"Penobscot County",44825,37713,85269,7112,0.525689289190679,0.442282658410442,0.0834066307802367,"Penobscot County, Maine",152202
"1158","Maine",23021,"Piscataquis County",6143,3517,9908,2626,0.620004037141704,0.354965684295519,0.265038352846185,"Piscataquis County, Maine",16799
"1159","Maine",23023,"Sagadahoc County",9755,13528,24038,-3773,0.4058157916632,0.562775605291622,-0.156959813628422,"Sagadahoc County, Maine",36699
"1160","Maine",23025,"Somerset County",16644,10199,27578,6445,0.603524548553195,0.36982377257234,0.233700775980854,"Somerset County, Maine",50472
"1161","Maine",23027,"Waldo County",11196,12345,24320,-1149,0.460361842105263,0.507606907894737,-0.0472450657894737,"Waldo County, Maine",39596
"1162","Maine",23029,"Washington County",10194,6761,17357,3433,0.587313475831077,0.389525839718845,0.197787636112231,"Washington County, Maine",31088
"1163","Maine",23031,"York County",54817,71189,129659,-16372,0.42277821053687,0.54904788715014,-0.12626967661327,"York County, Maine",211981
"1164","Maryland",24001,"Allegany County",20886,9158,30641,11728,0.681635716849972,0.29888058483731,0.382755132012663,"Allegany County, Maryland",68115
"1165","Maryland",24003,"Anne Arundel County",127821,172823,309617,-45002,0.412835858496142,0.55818317469648,-0.145347316200338,"Anne Arundel County, Maryland",588265
"1166","Maryland",24005,"Baltimore County",146202,258409,414932,-112207,0.352351710641744,0.622774334107757,-0.270422623466014,"Baltimore County, Maryland",854554
"1167","Maryland",24009,"Calvert County",25346,22587,49112,2759,0.516085681707118,0.459907965466688,0.0561777162404301,"Calvert County, Maryland",92785
"1168","Maryland",24011,"Caroline County",10283,5095,15794,5188,0.651070026592377,0.322590857287578,0.328479169304799,"Caroline County, Maryland",33299
"1169","Maryland",24013,"Carroll County",60218,36456,100327,23762,0.600217289463455,0.363371774298045,0.236845515165409,"Carroll County, Maryland",172890
"1170","Maryland",24015,"Cecil County",29439,16809,47462,12630,0.620264632758839,0.354157009818381,0.266107622940458,"Cecil County, Maryland",103726
"1171","Maryland",24017,"Charles County",25579,62171,89498,-36592,0.285805269391495,0.694663567900959,-0.408858298509464,"Charles County, Maryland",166621
